time,open,high,low,close,pz,tz,xup,xdn,est,ema12,atr14,close
1789411200,762.33,762.47,762.26,762.43,-48.25514652978782,-33.52779523702483,0,0,0,762.279436728937,0.1963556398031007,762.43
1789411320,762.43,762.52,762.36,762.45,-39.89724225028134,-31.655300794310378,0,0,0,762.3056772321775,0.19375880838859125,762.45
1789411440,762.445,762.46,762.34,762.4,-35.68828856087385,-30.019513411227884,0,0,0,762.3201884272271,0.1884903220751208,762.4
1789411560,762.4,762.7,762.12,762.31,-38.62212291962662,-29.5302320267066,0,0,0,762.3186209768844,0.21645529906975794,762.31
1789411680,762.29,762.54,762.29,762.51,-33.86505018742064,-27.962462468441174,0,0,0,762.3480639035175,0.2188513491362038,762.51
1789411800,762.495,762.54,762.33,762.37,-36.78354055481888,-27.042742601328147,0,0,0,762.3514386875918,0.2182191099121837,762.37
1789411920,762.37,762.46,762.35,762.4,-38.4104402262441,-26.13761423189593,0,0,0,762.3589096587315,0.21048917348988586,762.4
1789412040,762.4,762.4,762.245,762.38,-40.66690912775338,-25.485548810048,0,0,0,762.3621543266189,0.20652566109774922,762.38
1789412160,762.38,762.46,762.25,762.25,-47.75334640277709,-26.170401711525145,0,0,0,762.3448998148314,0.2067738281621983,762.25
1789412280,762.24,762.26,762.09,762.12,-56.03019967550018,-28.18265630758945,0,0,0,762.3102998433188,0.2041471261506098,762.12
1789412400,762.13,762.21,761.91,761.98,-65.42771304776339,-31.246567910239545,0,0,0,762.2594844828083,0.21099375999699968,761.98
1789412520,761.97,762.01,761.91,761.99,-72.1159245039972,-34.07176561423454,0,0,0,762.218025331607,0.20306563428292992,761.99
1789412640,762,762.11,761.82,761.83,-78.88239792345263,-37.45108157984051,0,0,0,762.1583291267444,0.20927523183414662,761.83
1789412760,761.82,761.88,761.74,761.75,-83.97429844258966,-40.58585417961568,0,0,0,762.0955092610915,0.20432700098884946,761.75
1789412880,761.745,761.95,761.62,761.84,-82.09541452263215,-42.01481532534991,0,0,0,762.0562001440005,0.21330364377536312,761.84
1789413000,761.85,761.92,761.83,761.87,-79.75750219081871,-42.56679668259888,0,0,0,762.0275539680005,0.2044962406485456,761.87
1789413120,761.89,762.04,761.89,761.93,-75.04071516570461,-42.43646113276249,0,0,0,762.0125456652312,0.20203222345936084,761.93
1789413240,761.925,762.09,761.83,761.88,-71.11875115809936,-42.56324696162619,0,0,0,761.9921540244264,0.2061727789265487,761.88
1789413360,761.88,761.92,761.81,761.88,-68.17727815239542,-43.14104033956183,0,0,0,761.9748995591301,0.19930329471751046,761.88
1789413480,761.88,761.93,761.78,761.87,-66.37214968821476,-43.795472480468504,0,0,0,761.9587611654177,0.19578163080911523,761.87
1789413600,761.86,761.93,761.72,761.72,-71.03294769154321,-45.483100349814976,0,0,0,761.9220286784304,0.19679722860845864,761.72
1789413720,761.74,761.75,761.65,761.69,-75.73147506433143,-47.58990436560035,0,0,0,761.8863319586718,0.1898831408507132,761.69
1789413840,761.69,761.86,761.68,761.7,-80.17360629824809,-49.53227983783334,0,0,0,761.8576655034915,0.18917720221852394,761.7
1789413960,761.7,761.82,761.7,761.73,-82.13020472368646,-50.957005460520804,0,0,0,761.8380246568005,0.1842359734886297,761.73
